category,title,cash_price,store,link,brand,model,processor,memory,storage,created_at
notebooks,Notebook Aiwa Cloudbook Ca141-C Intel N4020 4Gb 128Gb 14 W11...,222449.0,venex,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,Aiwa,CA141-C,Intel Celeron N4020,4 Gigas,4 Gigas,2023-09-04 10:49:24
notebooks,Notebook Noblex Celeron N4020 4Gb 128Gb 14.1 Hd W11,259999.0,venex,https://www.venex.com.ar//notebooks/notebook-noblex-celeron-n4020-4gb-128gb-14-1-hd-w11.html,Noblex,91N14X1000,Intel Celeron N4020,4 Gigas,4 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo Ideapad 3 14Igl05 Celeron N4020 4Gb 500Gb 14 Hd...,268449.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-ideapad-3-14igl05-celeron-n4020-4gb-500gb-14-hd-free.html,Lenovo,81WH0015AR,Intel Celeron N4020,4 Gigas,4 Gigas,2023-09-04 10:49:24
notebooks,Lenovo Ideapad 1 14Igl05 Pentium N5030 4Gb Ssd 256Gb 14 Hd Free,314489.0,venex,https://www.venex.com.ar//notebooks/lenovo-ideapad-1-14igl05-pentium-n5030-4gb-ssd-256gb-14-hd-free.html,Lenovo,81VU006RAR,Intel Pentium N5030,4 Gigas,4 Gigas,2023-09-04 10:49:24
notebooks,Notebook Noblex Core I3 1115G4 8Gb 256Gb 14.1 Fhd W11,349999.0,venex,https://www.venex.com.ar//notebooks/notebook-noblex-core-i3-1115g4-8gb-256gb-14-1-fhd-w11.html,Noblex,91N14X3000,Intel Core i3 1115G4,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Asus X515Ea I3 1115G4 4Gb Ssd 256Gb 15.6 Fhd Free,394990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i3-1115g4-4gb-ssd-256gb-15-6-fhd-free.html,Asus,90NB0TY1-M21910,Intel Core i3 1115G4,4 Gigas,4 Gigas,2023-09-04 10:49:24
notebooks,Notebook Asus X515Ea I3 1115G4 8Gb Ssd 256Gb 15.6 Fhd Free,399990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i3-1115g4-8gb-ssd-256gb-15-6-fhd-free.html,Asus,90NB0TY1-M21910+4GB,Intel Core i3 1115G4,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Bangho Max L4 I3 1115G4 Ssd 240Gb 8Gb 14 Hd Free,424990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l4-i3-1115g4-ssd-240gb-8gb-14-hd-free.html,Bangho,G41P3KF6HFDC100,Intel Core i3 1115G4,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Bangho Max L5 I3 1115G4 Ssd 240Gb 8Gb 15.6 Hd Free,429990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l5-i3-1115g4-ssd-240gb-8gb-15-6-hd-free.html,Bangho,G52P3KF6IFDC100,Intel Core i3 1115G4,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Bangho Max L4 I5 115567 Ssd 240Gb 8Gb 14 Hd Free,459990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l4-i5-115567-ssd-240gb-8gb-14-hd-free.html,Bangho,G41Q5JF6HFDC100,Intel Core i5 1155G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
