,category,title,cash_price,store,link,created_at
0,notebooks,Notebook Aiwa Cloudbook CA141-C Intel N4020 4Gb 128Gb 14 w11...,222449.0,venex,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-28 13:20:35
1,notebooks,Notebook Noblex Celeron N4020 4Gb 128Gb 14.1 HD W11,245459.0,venex,https://www.venex.com.ar//notebooks/notebook-noblex-celeron-n4020-4gb-128gb-14-1-hd-w11.html,2023-08-28 13:20:35
2,notebooks,Notebook Lenovo Ideapad 3 14IGL05 Celeron N4020 4Gb 500Gb 14 HD...,268449.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-ideapad-3-14igl05-celeron-n4020-4gb-500gb-14-hd-free.html,2023-08-28 13:20:35
3,notebooks,Lenovo Ideapad 1 14IGL05 Pentium N5030 4gb SSD 256Gb 14 HD Free,314489.0,venex,https://www.venex.com.ar//notebooks/lenovo-ideapad-1-14igl05-pentium-n5030-4gb-ssd-256gb-14-hd-free.html,2023-08-28 13:20:35
4,notebooks,Notebook Noblex Core i3 1115G4 8Gb 256Gb 14.1 FHD W11,383519.0,venex,https://www.venex.com.ar//notebooks/notebook-noblex-core-i3-1115g4-8gb-256gb-14-1-fhd-w11.html,2023-08-28 13:20:35
5,notebooks,Notebook Asus X515EA i3 1115G4 4Gb SSD 256Gb 15.6 FHD Free,394990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i3-1115g4-4gb-ssd-256gb-15-6-fhd-free.html,2023-08-28 13:20:35
6,notebooks,Notebook Asus X515EA i3 1115G4 8Gb SSD 256Gb 15.6 FHD Free,399990.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-x515ea-i3-1115g4-8gb-ssd-256gb-15-6-fhd-free.html,2023-08-28 13:20:35
7,notebooks,Notebook Lenovo Ideapad 1 Ryzen 3 3250U 8Gb SSD 256Gb 14 Free,460229.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-ideapad-1-ryzen-3-3250u-8gb-ssd-256gb-14-free.html,2023-08-28 13:20:35
8,notebooks,Notebook Bangho Max L5 i3 1115G4 SSD 240Gb 8Gb 15.6 HD Free,498559.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l5-i3-1115g4-ssd-240gb-8gb-15-6-hd-free.html,2023-08-28 13:20:35
9,notebooks,Notebook Lenovo V15 i3 10110U 8Gb 1Tb 15.6 Free,499990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-i3-10110u-8gb-1tb-15-6-free.html,2023-08-28 13:20:35
10,notebooks,Notebook Bangho Max L4 i3 1115G4 SSd 240Gb 8Gb 14 HD Free,506239.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-max-l4-i3-1115g4-ssd-240gb-8gb-14-hd-free.html,2023-08-28 13:20:35
